N (kg/ha),P (kg/ha),K (kg/ha),pH,Humidity (%),Temperature (°C),Rainfall (mm),Crop Yield (kg/ha),District,Soil Type,Crop Name
115,58,78,5.67,32,62,2000,1900,Cooch Behar,Sandy Soil,Potato
110,55,75,5.77,42,71,1950,1850,Cooch Behar,Sandy Soil,Potato
125,62,85,5.87,62,52,2050,1950,Cooch Behar,Sandy Soil,Potato
120,60,80,5.77,42,82,2020,1920,Cooch Behar,Sandy Soil,Potato
130,65,90,6.07,83,30,2100,2000,Cooch Behar,Sandy Soil,Potato
80,38,48,5.2,69,23,1750,1520,Cooch Behar,Sandy Soil,Pulses
85,42,52,5.3,71,24,1800,1580,Cooch Behar,Sandy Soil,Pulses
78,36,46,5.1,68,22,1680,1420,Cooch Behar,Sandy Soil,Pulses
90,44,54,5.4,72,25,1850,1660,Cooch Behar,Sandy Soil,Pulses
95,48,60,5.5,74,26,1920,1720,Cooch Behar,Sandy Soil,Pulses
102,50,70,5.8,77,28,2080,1960,Cooch Behar,Sandy Soil,Maize
95,48,68,5.7,76,27,2020,1900,Cooch Behar,Sandy Soil,Maize
108,52,72,5.9,78,26,2100,2000,Cooch Behar,Sandy Soil,Maize
98,46,66,5.6,75,25,1950,1850,Cooch Behar,Sandy Soil,Maize
105,54,74,6,80,29,2150,2100,Cooch Behar,Sandy Soil,Maize
102,50,70,5.8,77,28,2080,1960,Cooch Behar,Sandy Soil,Maize
95,48,68,5.7,76,27,2020,1900,Cooch Behar,Sandy Soil,Maize
108,52,72,5.9,78,26,2100,2000,Cooch Behar,Sandy Soil,Maize
98,46,66,5.6,75,25,1950,1850,Cooch Behar,Sandy Soil,Maize
105,54,74,6,80,29,2150,2100,Cooch Behar,Sandy Soil,Maize
80,38,58,5.4,71,25,1920,1620,Cooch Behar,Sandy Soil,Wheat
82,40,60,5.5,73,27,1950,1680,Cooch Behar,Sandy Soil,Wheat
85,42,62,5.6,75,28,1980,1740,Cooch Behar,Sandy Soil,Wheat
78,36,56,5.3,70,24,1880,1560,Cooch Behar,Sandy Soil,Wheat
88,44,64,5.7,76,26,2020,1800,Cooch Behar,Sandy Soil,Wheat
70,35,46,5,68,23,1850,1350,Cooch Behar,Sandy Soil,Jute
68,33,44,4.9,67,25,1800,1300,Cooch Behar,Sandy Soil,Jute
72,36,48,5.2,70,26,1950,1400,Cooch Behar,Sandy Soil,Jute
75,38,50,5.3,72,24,2000,1450,Cooch Behar,Sandy Soil,Jute
78,40,52,5.4,74,23,2050,1500,Cooch Behar,Sandy Soil,Jute
115,58,78,5.6,73,26,2000,1800,Cooch Behar,Sandy Soil,Rice
105,52,72,5.5,75,28,1900,1700,Cooch Behar,Sandy Soil,Rice
120,60,80,5.7,74,27,1950,1850,Cooch Behar,Sandy Soil,Rice
125,62,85,5.8,76,25,2050,1900,Cooch Behar,Sandy Soil,Rice
110,55,75,5.6,72,24,1980,1750,Cooch Behar,Sandy Soil,Rice
48,24,35,6.7,68,28,1550,700,Bankura,Black Soil,Cashew
45,22,32,6.5,70,26,1450,680,Bankura,Black Soil,Cashew
50,26,38,6.8,67,29,1600,720,Bankura,Black Soil,Cashew
46,23,34,6.6,69,27,1500,700,Bankura,Black Soil,Cashew
52,28,40,7,66,30,1650,750,Bankura,Black Soil,Cashew
28,14,20,6.1,80,23,1450,180,Bankura,Black Soil,Summer Til
30,15,22,6.3,77,25,1500,200,Bankura,Black Soil,Summer Til
26,12,18,5.9,82,24,1400,160,Bankura,Black Soil,Summer Til
32,16,25,6.2,78,26,1550,220,Bankura,Black Soil,Summer Til
34,18,27,6.5,75,24,1650,240,Bankura,Black Soil,Summer Til
32,16,25,6.2,78,26,1600,300,Bankura,Black Soil,Mustard
30,15,22,6.1,79,27,1550,280,Bankura,Black Soil,Mustard
34,18,27,6.3,77,25,1650,320,Bankura,Black Soil,Mustard
28,14,20,6,80,23,1500,260,Bankura,Black Soil,Mustard
36,20,30,6.5,75,24,1700,340,Bankura,Black Soil,Mustard
60,30,42,6.6,74,23,1320,550,Bankura,Black Soil,Cucumbers
65,35,46,6.8,72,22,1400,580,Bankura,Black Soil,Cucumbers
58,28,40,6.5,76,25,1250,520,Bankura,Black Soil,Cucumbers
62,32,44,6.7,73,24,1360,560,Bankura,Black Soil,Cucumbers
68,34,48,7,70,26,1450,600,Bankura,Black Soil,Cucumbers
80,40,55,6.1,78,26,1650,800,Bankura,Black Soil,Jackfruit
85,43,58,6.3,77,25,1700,820,Bankura,Black Soil,Jackfruit
78,38,52,6,80,23,1600,780,Bankura,Black Soil,Jackfruit
82,42,56,6.2,79,24,1750,800,Bankura,Black Soil,Jackfruit
88,45,60,6.5,76,27,1850,850,Bankura,Black Soil,Jackfruit
40,20,30,6.4,76,25,1180,400,Bankura,Black Soil,Guava
38,18,28,6.3,78,24,1160,380,Bankura,Black Soil,Guava
42,22,32,6.5,74,26,1200,420,Bankura,Black Soil,Guava
45,25,35,6.7,72,27,1250,450,Bankura,Black Soil,Guava
40,20,30,6.4,76,25,1180,400,Bankura,Black Soil,Guava
55,28,38,6.3,72,25,1450,600,Bankura,Black Soil,Papaya
58,30,40,6.5,70,26,1500,620,Bankura,Black Soil,Papaya
52,26,36,6.1,75,24,1400,580,Bankura,Black Soil,Papaya
60,32,42,6.7,68,28,1550,650,Bankura,Black Soil,Papaya
65,35,46,7,66,29,1600,700,Bankura,Black Soil,Papaya
70,35,48,6.8,75,24,1500,1000,Bankura,Black Soil,Banana
75,38,52,7,74,25,1550,1050,Bankura,Black Soil,Banana
68,34,46,6.6,76,23,1450,950,Bankura,Black Soil,Banana
80,40,55,7.2,72,26,1600,1100,Bankura,Black Soil,Banana
85,43,58,7.5,70,28,1650,1150,Bankura,Black Soil,Banana
90,45,62,6.1,80,27,1750,800,Bankura,Black Soil,Mango
95,48,65,6,79,28,1800,820,Bankura,Black Soil,Mango
88,42,58,6.2,82,25,1700,780,Bankura,Black Soil,Mango
92,46,62,5.9,81,24,1850,800,Bankura,Black Soil,Mango
98,50,68,6.3,78,26,1900,850,Bankura,Black Soil,Mango
120,60,80,5.8,82,26,1850,1750,Bankura,Black Soil,Potatoe
110,55,75,5.7,81,25,1820,1680,Bankura,Black Soil,Potatoe
125,62,85,6,80,23,1900,1800,Bankura,Black Soil,Potatoe
105,52,72,5.9,83,24,1750,1620,Bankura,Black Soil,Potatoe
115,58,78,5.6,85,26,1880,1700,Bankura,Black Soil,Potatoe
55,28,38,6.8,70,26,1500,1100,Bankura,Black Soil,Oilseeds
58,30,40,7,68,27,1550,1150,Bankura,Black Soil,Oilseeds
52,26,36,6.6,72,25,1450,1050,Bankura,Black Soil,Oilseeds
60,32,42,7.2,66,28,1600,1200,Bankura,Black Soil,Oilseeds
65,35,46,7.5,64,30,1650,1250,Bankura,Black Soil,Oilseeds
