N,P,K,pH,Humidity,Temperature,Rainfall,CropYield,District,SoilType,CropName
60,32,39,5,71,26,2050,1250,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
55,30,37,4.9,70,24,2000,1180,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
65,33,41,5.1,72,27,2150,1330,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
61,31,38,5,71,25,2100,1280,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
64,34,40,5.2,74,28,2250,1370,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
58,29,36,4.8,68,26,1950,1120,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
62,32,39,5,70,25,2000,1210,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
66,35,43,5.3,75,29,2300,1450,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
57,28,35,4.7,67,24,1900,1070,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
60,30,37,5.1,71,26,2050,1230,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
67,36,44,5.4,76,30,2350,1500,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
59,29,36,4.8,69,25,1950,1150,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
63,33,40,5.1,72,27,2100,1300,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
68,37,45,5.5,77,31,2400,1550,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
56,28,34,4.7,68,24,1900,1080,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
61,31,38,5,70,26,2050,1260,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
69,38,46,5.6,78,32,2450,1600,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
55,27,34,4.6,67,23,1850,1050,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
62,32,39,5,71,25,2000,1220,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
70,39,47,5.7,79,33,2500,1650,Jalpaiguri,Alluvial & Red/Yellow Soil,Jute
